participant_id,prime_condition,prime_condition_names,trial_number,image,pre_post_prime,chose_masc
11,1,neutral,2,Slide11.bmp,0,0
11,1,neutral,3,Slide9.bmp,0,1
11,1,neutral,4,Slide5.bmp,0,0
11,1,neutral,5,Slide1.bmp,0,1
11,1,neutral,6,Slide18.bmp,0,1
11,1,neutral,7,Slide14.bmp,0,0
11,1,neutral,8,Slide10.bmp,0,1
11,1,neutral,9,Slide16.bmp,0,0
11,1,neutral,10,Slide13.bmp,0,0
11,1,neutral,11,Slide12.bmp,0,0
11,1,neutral,12,Slide3.bmp,0,1
11,1,neutral,13,Slide8.bmp,0,1
11,1,neutral,14,Slide6.bmp,0,0
11,1,neutral,15,Slide7.bmp,0,1
11,1,neutral,16,Slide17.bmp,0,1
11,1,neutral,17,Slide15.bmp,0,1
11,1,neutral,18,Slide4.bmp,0,1
11,1,neutral,19,Slide19.bmp,0,1
11,1,neutral,20,Slide2.bmp,0,0
11,1,neutral,21,Slide20.bmp,1,1
11,1,neutral,22,Slide12.bmp,1,0
11,1,neutral,23,Slide10.bmp,1,0
11,1,neutral,24,Slide8.bmp,1,0
11,1,neutral,25,Slide5.bmp,1,1
11,1,neutral,26,Slide18.bmp,1,0
11,1,neutral,27,Slide11.bmp,1,0
11,1,neutral,28,Slide7.bmp,1,1
11,1,neutral,29,Slide6.bmp,1,1
11,1,neutral,30,Slide15.bmp,1,1
11,1,neutral,31,Slide14.bmp,1,1
11,1,neutral,32,Slide16.bmp,1,0
11,1,neutral,33,Slide17.bmp,1,1
11,1,neutral,34,Slide13.bmp,1,0
11,1,neutral,35,Slide3.bmp,1,0
11,1,neutral,36,Slide1.bmp,1,0
11,1,neutral,37,Slide2.bmp,1,0
11,1,neutral,38,Slide4.bmp,1,0
11,1,neutral,39,Slide19.bmp,1,1
11,1,neutral,40,Slide9.bmp,1,1
12,2,male/male,2,Slide3.bmp,0,0
12,2,male/male,3,Slide6.bmp,0,0
12,2,male/male,4,Slide11.bmp,0,0
12,2,male/male,5,Slide4.bmp,0,1
12,2,male/male,6,Slide19.bmp,0,1
12,2,male/male,7,Slide2.bmp,0,1
12,2,male/male,8,Slide18.bmp,0,0
12,2,male/male,9,Slide8.bmp,0,0
12,2,male/male,10,Slide17.bmp,0,1
12,2,male/male,11,Slide16.bmp,0,0
12,2,male/male,12,Slide7.bmp,0,0
12,2,male/male,13,Slide1.bmp,0,0
12,2,male/male,14,Slide12.bmp,0,0
12,2,male/male,15,Slide10.bmp,0,0
12,2,male/male,16,Slide9.bmp,0,0
12,2,male/male,17,Slide14.bmp,0,0
12,2,male/male,18,Slide15.bmp,0,1
12,2,male/male,19,Slide5.bmp,0,1
12,2,male/male,20,Slide13.bmp,0,0
12,2,male/male,21,Slide15.bmp,1,0
12,2,male/male,22,Slide3.bmp,1,0
12,2,male/male,23,Slide20.bmp,1,0
12,2,male/male,24,Slide2.bmp,1,0
12,2,male/male,25,Slide12.bmp,1,0
12,2,male/male,26,Slide10.bmp,1,0
12,2,male/male,27,Slide9.bmp,1,0
12,2,male/male,28,Slide8.bmp,1,1
12,2,male/male,29,Slide13.bmp,1,0
12,2,male/male,30,Slide16.bmp,1,0
12,2,male/male,31,Slide17.bmp,1,0
12,2,male/male,32,Slide7.bmp,1,1
12,2,male/male,33,Slide14.bmp,1,1
12,2,male/male,34,Slide6.bmp,1,0
12,2,male/male,35,Slide1.bmp,1,1
12,2,male/male,36,Slide18.bmp,1,0
12,2,male/male,37,Slide11.bmp,1,0
12,2,male/male,38,Slide5.bmp,1,0
12,2,male/male,39,Slide19.bmp,1,0
12,2,male/male,40,Slide4.bmp,1,1
13,3,male group,2,Slide14.bmp,0,1
13,3,male group,3,Slide12.bmp,0,1
13,3,male group,4,Slide3.bmp,0,1
13,3,male group,5,Slide5.bmp,0,0
13,3,male group,6,Slide17.bmp,0,0
13,3,male group,7,Slide9.bmp,0,1
13,3,male group,8,Slide18.bmp,0,1
13,3,male group,9,Slide1.bmp,0,0
13,3,male group,10,Slide6.bmp,0,0
13,3,male group,11,Slide13.bmp,0,0
13,3,male group,12,Slide4.bmp,0,0
13,3,male group,13,Slide7.bmp,0,1
13,3,male group,14,Slide10.bmp,0,1
13,3,male group,15,Slide20.bmp,0,1
13,3,male group,16,Slide16.bmp,0,1
13,3,male group,17,Slide15.bmp,0,1
13,3,male group,18,Slide2.bmp,0,0
13,3,male group,19,Slide8.bmp,0,0
13,3,male group,20,Slide19.bmp,0,1
13,3,male group,21,Slide10.bmp,1,1
13,3,male group,22,Slide1.bmp,1,0
13,3,male group,23,Slide9.bmp,1,1
13,3,male group,24,Slide13.bmp,1,1
13,3,male group,25,Slide16.bmp,1,1
13,3,male group,26,Slide7.bmp,1,1
13,3,male group,27,Slide11.bmp,1,1
13,3,male group,28,Slide8.bmp,1,0
13,3,male group,29,Slide15.bmp,1,1
13,3,male group,30,Slide3.bmp,1,1
13,3,male group,31,Slide18.bmp,1,1
13,3,male group,32,Slide12.bmp,1,1
13,3,male group,33,Slide4.bmp,1,1
13,3,male group,34,Slide5.bmp,1,1
13,3,male group,35,Slide17.bmp,1,1
13,3,male group,36,Slide14.bmp,1,1
13,3,male group,37,Slide19.bmp,1,1
13,3,male group,38,Slide6.bmp,1,1
13,3,male group,39,Slide20.bmp,1,0
13,3,male group,40,Slide2.bmp,1,1
14,4,male/female,1,Slide7.bmp,0,0
14,4,male/female,2,Slide3.bmp,0,1
14,4,male/female,3,Slide8.bmp,0,0
14,4,male/female,4,Slide16.bmp,0,1
14,4,male/female,5,Slide9.bmp,0,1
14,4,male/female,6,Slide13.bmp,0,0
14,4,male/female,8,Slide14.bmp,0,1
14,4,male/female,10,Slide1.bmp,0,0
14,4,male/female,11,Slide6.bmp,0,0
14,4,male/female,12,Slide5.bmp,0,1
14,4,male/female,14,Slide15.bmp,0,1
14,4,male/female,15,Slide4.bmp,0,0
14,4,male/female,16,Slide10.bmp,0,0
14,4,male/female,17,Slide20.bmp,0,1
14,4,male/female,18,Slide18.bmp,0,0
14,4,male/female,19,Slide2.bmp,0,0
14,4,male/female,20,Slide19.bmp,0,0
14,4,male/female,21,Slide18.bmp,1,0
14,4,male/female,22,Slide19.bmp,1,0
14,4,male/female,23,Slide9.bmp,1,1
14,4,male/female,24,Slide6.bmp,1,0
14,4,male/female,26,Slide13.bmp,1,1
14,4,male/female,27,Slide16.bmp,1,1
14,4,male/female,28,Slide20.bmp,1,0
14,4,male/female,29,Slide10.bmp,1,0
14,4,male/female,30,Slide15.bmp,1,0
14,4,male/female,31,Slide11.bmp,1,0
14,4,male/female,32,Slide4.bmp,1,0
14,4,male/female,33,Slide1.bmp,1,0
14,4,male/female,34,Slide3.bmp,1,0
14,4,male/female,35,Slide7.bmp,1,1
14,4,male/female,36,Slide5.bmp,1,1
14,4,male/female,37,Slide8.bmp,1,1
14,4,male/female,38,Slide12.bmp,1,1
14,4,male/female,39,Slide2.bmp,1,0
14,4,male/female,40,Slide14.bmp,1,0
15,5,pathogen,2,Slide15.bmp,0,1
15,5,pathogen,3,Slide19.bmp,0,0
15,5,pathogen,4,Slide3.bmp,0,1
15,5,pathogen,5,Slide13.bmp,0,0
15,5,pathogen,6,Slide2.bmp,0,0
15,5,pathogen,7,Slide12.bmp,0,0
15,5,pathogen,8,Slide6.bmp,0,0
15,5,pathogen,9,Slide5.bmp,0,1
15,5,pathogen,10,Slide8.bmp,0,0
15,5,pathogen,11,Slide10.bmp,0,1
15,5,pathogen,12,Slide11.bmp,0,0
15,5,pathogen,13,Slide16.bmp,0,1
15,5,pathogen,14,Slide14.bmp,0,1
15,5,pathogen,15,Slide7.bmp,0,1
15,5,pathogen,16,Slide20.bmp,0,1
15,5,pathogen,17,Slide9.bmp,0,1
15,5,pathogen,18,Slide17.bmp,0,0
15,5,pathogen,19,Slide4.bmp,0,0
15,5,pathogen,22,Slide3.bmp,1,0
15,5,pathogen,23,Slide7.bmp,1,1
15,5,pathogen,24,Slide5.bmp,1,1
15,5,pathogen,25,Slide11.bmp,1,0
15,5,pathogen,26,Slide10.bmp,1,0
15,5,pathogen,27,Slide12.bmp,1,0
15,5,pathogen,28,Slide4.bmp,1,0
15,5,pathogen,29,Slide17.bmp,1,0
15,5,pathogen,30,Slide19.bmp,1,0
15,5,pathogen,31,Slide14.bmp,1,1
15,5,pathogen,32,Slide8.bmp,1,0
15,5,pathogen,33,Slide18.bmp,1,1
15,5,pathogen,34,Slide6.bmp,1,0
15,5,pathogen,35,Slide20.bmp,1,1
15,5,pathogen,36,Slide9.bmp,1,1
15,5,pathogen,37,Slide13.bmp,1,0
15,5,pathogen,38,Slide1.bmp,1,1
15,5,pathogen,39,Slide16.bmp,1,1
15,5,pathogen,40,Slide15.bmp,1,1
16,1,neutral,2,Slide3.bmp,0,0
16,1,neutral,3,Slide19.bmp,0,0
16,1,neutral,4,Slide6.bmp,0,1
16,1,neutral,5,Slide16.bmp,0,1
16,1,neutral,6,Slide1.bmp,0,1
16,1,neutral,7,Slide13.bmp,0,0
16,1,neutral,8,Slide17.bmp,0,1
16,1,neutral,9,Slide15.bmp,0,1
16,1,neutral,10,Slide14.bmp,0,1
16,1,neutral,12,Slide18.bmp,0,0
16,1,neutral,13,Slide8.bmp,0,0
16,1,neutral,14,Slide11.bmp,0,0
16,1,neutral,15,Slide5.bmp,0,1
16,1,neutral,16,Slide7.bmp,0,1
16,1,neutral,17,Slide20.bmp,0,1
16,1,neutral,18,Slide9.bmp,0,1
16,1,neutral,19,Slide4.bmp,0,1
16,1,neutral,20,Slide10.bmp,0,1
16,1,neutral,21,Slide16.bmp,1,1
16,1,neutral,23,Slide13.bmp,1,0
16,1,neutral,24,Slide17.bmp,1,1
