id,order,masc,stim,cond
11,1,8,Slide32.bmp,1
11,2,7,Slide32.bmp,1
11,3,8,Slide32.bmp,1
11,4,7,Slide32.bmp,1
11,5,9,Slide32.bmp,1
11,6,9,Slide32.bmp,1
12,1,9,Slide32.bmp,2
12,2,5,Slide32.bmp,2
12,3,5,Slide32.bmp,2
12,4,7,Slide32.bmp,2
12,5,7,Slide32.bmp,2
12,6,8,Slide32.bmp,2
13,1,1,Slide32.bmp,3
13,2,7,Slide32.bmp,3
13,3,2,Slide32.bmp,3
13,4,9,Slide32.bmp,3
13,5,9,Slide32.bmp,3
13,6,5,Slide32.bmp,3
14,1,1,Slide32.bmp,4
14,2,1,Slide32.bmp,4
14,3,1,Slide32.bmp,4
14,4,3,Slide32.bmp,4
14,5,2,Slide32.bmp,4
14,6,2,Slide32.bmp,4
15,1,1,Slide32.bmp,5
15,2,1,Slide32.bmp,5
15,3,9,Slide32.bmp,5
15,4,9,Slide32.bmp,5
15,5,5,Slide32.bmp,5
15,6,5,Slide32.bmp,5
16,1,8,Slide32.bmp,1
16,2,9,Slide32.bmp,1
16,3,6,Slide32.bmp,1
16,4,8,Slide32.bmp,1
16,5,9,Slide32.bmp,1
16,6,7,Slide32.bmp,1
17,1,3,Slide32.bmp,2
17,2,5,Slide32.bmp,2
17,3,9,Slide32.bmp,2
17,4,3,Slide32.bmp,2
17,5,5,Slide32.bmp,2
17,6,7,Slide32.bmp,2
19,1,1,Slide32.bmp,4
19,2,9,Slide32.bmp,4
19,3,1,Slide32.bmp,4
19,4,8,Slide32.bmp,4
19,5,1,Slide32.bmp,4
19,6,4,Slide32.bmp,4
20,1,1,Slide32.bmp,5
20,2,3,Slide32.bmp,5
20,3,4,Slide32.bmp,5
20,4,2,Slide32.bmp,5
20,5,5,Slide32.bmp,5
20,6,7,Slide32.bmp,5
21,1,1,Slide32.bmp,1
21,2,9,Slide32.bmp,1
21,3,9,Slide32.bmp,1
21,4,9,Slide32.bmp,1
21,5,9,Slide32.bmp,1
21,6,5,Slide32.bmp,1
22,1,4,Slide32.bmp,2
22,2,7,Slide32.bmp,2
22,3,5,Slide32.bmp,2
22,4,7,Slide32.bmp,2
22,5,6,Slide32.bmp,2
22,6,5,Slide32.bmp,2
23,1,9,Slide32.bmp,3
23,2,5,Slide32.bmp,3
23,3,5,Slide32.bmp,3
23,4,9,Slide32.bmp,3
23,5,7,Slide32.bmp,3
23,6,5,Slide32.bmp,3
24,1,3,Slide32.bmp,4
24,2,3,Slide32.bmp,4
24,3,2,Slide32.bmp,4
24,4,9,Slide32.bmp,4
24,5,1,Slide32.bmp,4
24,6,3,Slide32.bmp,4
25,1,9,Slide32.bmp,5
25,2,9,Slide32.bmp,5
25,3,5,Slide32.bmp,5
25,4,7,Slide32.bmp,5
25,5,5,Slide32.bmp,5
25,6,5,Slide32.bmp,5
26,1,9,Slide32.bmp,1
26,2,7,Slide32.bmp,1
26,3,3,Slide32.bmp,1
26,4,5,Slide32.bmp,1
26,5,6,Slide32.bmp,1
26,6,6,Slide32.bmp,1
27,1,3,Slide32.bmp,2
27,2,4,Slide32.bmp,2
27,3,6,Slide32.bmp,2
27,4,3,Slide32.bmp,2
27,5,4,Slide32.bmp,2
27,6,2,Slide32.bmp,2
28,1,3,Slide32.bmp,3
28,2,1,Slide32.bmp,3
28,3,4,Slide32.bmp,3
28,4,8,Slide32.bmp,3
28,5,7,Slide32.bmp,3
28,6,5,Slide32.bmp,3
29,1,1,Slide32.bmp,4
29,2,9,Slide32.bmp,4
29,3,9,Slide32.bmp,4
29,4,5,Slide32.bmp,4
29,5,5,Slide32.bmp,4
29,6,9,Slide32.bmp,4
30,1,9,Slide32.bmp,5
30,2,9,Slide32.bmp,5
30,3,5,Slide32.bmp,5
30,4,9,Slide32.bmp,5
30,5,5,Slide32.bmp,5
30,6,9,Slide32.bmp,5
31,1,9,Slide32.bmp,1
31,2,6,Slide32.bmp,1
31,3,5,Slide32.bmp,1
31,4,7,Slide32.bmp,1
31,5,7,Slide32.bmp,1
31,6,8,Slide32.bmp,1
32,1,9,Slide32.bmp,2
32,2,5,Slide32.bmp,2
32,3,9,Slide32.bmp,2
32,4,9,Slide32.bmp,2
32,5,9,Slide32.bmp,2
32,6,5,Slide32.bmp,2
33,1,9,Slide32.bmp,3
33,2,8,Slide32.bmp,3
33,3,9,Slide32.bmp,3
33,4,9,Slide32.bmp,3
33,5,6,Slide32.bmp,3
33,6,8,Slide32.bmp,3
34,1,4,Slide32.bmp,4
34,2,7,Slide32.bmp,4
34,3,9,Slide32.bmp,4
34,4,9,Slide32.bmp,4
34,5,9,Slide32.bmp,4
34,6,7,Slide32.bmp,4
35,1,9,Slide32.bmp,5
35,2,9,Slide32.bmp,5
35,3,9,Slide32.bmp,5
35,4,7,Slide32.bmp,5
35,5,7,Slide32.bmp,5
35,6,7,Slide32.bmp,5
36,1,1,Slide32.bmp,1
36,2,1,Slide32.bmp,1
36,3,5,Slide32.bmp,1
36,4,9,Slide32.bmp,1
36,5,5,Slide32.bmp,1
36,6,9,Slide32.bmp,1
37,1,7,Slide32.bmp,2
37,2,8,Slide32.bmp,2
37,3,7,Slide32.bmp,2
37,4,7,Slide32.bmp,2
37,5,7,Slide32.bmp,2
37,6,8,Slide32.bmp,2
38,1,9,Slide32.bmp,3
38,2,4,Slide32.bmp,3
38,3,9,Slide32.bmp,3
38,4,5,Slide32.bmp,3
38,5,9,Slide32.bmp,3
38,6,9,Slide32.bmp,3
39,1,9,Slide32.bmp,4
39,2,7,Slide32.bmp,4
39,3,5,Slide32.bmp,4
39,4,6,Slide32.bmp,4
39,5,6,Slide32.bmp,4
39,6,5,Slide32.bmp,4
40,1,3,Slide32.bmp,5
40,2,5,Slide32.bmp,5
40,3,8,Slide32.bmp,5
40,4,8,Slide32.bmp,5
40,5,6,Slide32.bmp,5
40,6,7,Slide32.bmp,5
41,1,7,Slide32.bmp,1
41,2,8,Slide32.bmp,1
41,3,8,Slide32.bmp,1
41,4,5,Slide32.bmp,1
41,5,7,Slide32.bmp,1
41,6,8,Slide32.bmp,1
42,1,1,Slide32.bmp,2
42,2,5,Slide32.bmp,2
42,3,7,Slide32.bmp,2
42,4,7,Slide32.bmp,2
42,5,4,Slide32.bmp,2
42,6,6,Slide32.bmp,2
43,1,9,Slide32.bmp,3
43,2,9,Slide32.bmp,3
43,3,9,Slide32.bmp,3
43,4,9,Slide32.bmp,3
43,5,9,Slide32.bmp,3
43,6,5,Slide32.bmp,3
44,1,2,Slide32.bmp,4
44,2,2,Slide32.bmp,4
44,3,1,Slide32.bmp,4
44,4,4,Slide32.bmp,4
44,5,7,Slide32.bmp,4
44,6,5,Slide32.bmp,4
45,1,9,Slide32.bmp,5
45,2,5,Slide32.bmp,5
45,3,9,Slide32.bmp,5
45,4,9,Slide32.bmp,5
45,5,9,Slide32.bmp,5
45,6,1,Slide32.bmp,5
47,1,9,Slide32.bmp,2
47,2,1,Slide32.bmp,2
47,3,2,Slide32.bmp,2
47,4,7,Slide32.bmp,2
47,5,5,Slide32.bmp,2
47,6,2,Slide32.bmp,2
48,1,9,Slide32.bmp,3
48,2,9,Slide32.bmp,3
48,3,4,Slide32.bmp,3
48,4,3,Slide32.bmp,3
48,5,5,Slide32.bmp,3
48,6,5,Slide32.bmp,3
49,1,8,Slide32.bmp,4
49,2,9,Slide32.bmp,4
49,3,7,Slide32.bmp,4
