Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct
1,1,1,1,1,49,N,Please wait for instructions,70648,TRUE
1,1,1,2,2,205,RIGHT,instructionfollowup\Slide1.bmp,10817,TRUE
1,1,1,3,3,9,9,instructionfollowup\Slide2.bmp,796,FALSE
1,1,1,3,4,57,SPACE,instructionfollowup\Slide3.bmp,3585,TRUE
1,1,1,4,15,9,9,mfaces\Slide1.bmp,1332,FALSE
1,1,1,5,21,1,1,mfaces\Slide2.bmp,1572,TRUE
1,1,1,6,8,9,9,mfaces\Slide3.bmp,1804,FALSE
1,1,1,7,18,1,1,mfaces\Slide4.bmp,1089,TRUE
1,1,1,8,16,9,9,mfaces\Slide5.bmp,1209,FALSE
1,1,1,9,11,1,1,mfaces\Slide6.bmp,1267,TRUE
1,1,1,10,20,9,9,mfaces\Slide7.bmp,1454,FALSE
1,1,1,11,17,9,9,mfaces\Slide8.bmp,1398,FALSE
1,1,1,12,12,9,9,mfaces\Slide9.bmp,1274,FALSE
1,1,1,13,24,1,1,mfaces\Slide10.bmp,1558,TRUE
1,1,1,14,19,9,9,mfaces\Slide11.bmp,1102,FALSE
1,1,1,15,14,-1,-1,mfaces\Slide12.bmp,2001,FALSE
1,1,1,16,22,9,9,mfaces\Slide13.bmp,1399,FALSE
1,1,1,17,13,9,9,mfaces\Slide14.bmp,1806,FALSE
1,1,1,18,7,1,1,mfaces\Slide15.bmp,1722,TRUE
1,1,1,19,23,9,9,mfaces\Slide16.bmp,1849,FALSE
1,1,1,20,10,1,1,mfaces\Slide17.bmp,1601,TRUE
1,1,1,21,9,-1,-1,mfaces\Slide18.bmp,2001,FALSE
1,1,1,22,6,9,9,mfaces\Slide19.bmp,1946,FALSE
1,1,1,23,5,9,9,mfaces\Slide20.bmp,1693,FALSE
1,1,1,26,25,57,SPACE,instructionfollowup\Slide4.bmp,2802,TRUE
1,1,1,2,50,57,SPACE,instructionfollowup\Slide5.bmp,7521,TRUE
1,1,1,51,58,9,9,mfaces\Slide1.bmp,1635,FALSE
1,1,1,52,51,1,1,mfaces\Slide2.bmp,1741,TRUE
1,1,1,53,52,9,9,mfaces\Slide3.bmp,1940,FALSE
1,1,1,54,64,1,1,mfaces\Slide4.bmp,1822,TRUE
1,1,1,55,55,9,9,mfaces\Slide5.bmp,1136,FALSE
1,1,1,56,56,1,1,mfaces\Slide6.bmp,1655,TRUE
1,1,1,57,66,9,9,mfaces\Slide7.bmp,1609,FALSE
1,1,1,58,53,1,1,mfaces\Slide8.bmp,1411,TRUE
1,1,1,59,67,9,9,mfaces\Slide9.bmp,1366,FALSE
1,1,1,60,62,1,1,mfaces\Slide10.bmp,1579,TRUE
1,1,1,61,54,1,1,mfaces\Slide11.bmp,1704,TRUE
1,1,1,62,65,9,9,mfaces\Slide12.bmp,1203,FALSE
1,1,1,63,57,1,1,mfaces\Slide13.bmp,1699,TRUE
1,1,1,64,60,9,9,mfaces\Slide14.bmp,1342,FALSE
1,1,1,65,70,1,1,mfaces\Slide15.bmp,1410,TRUE
1,1,1,66,69,9,9,mfaces\Slide16.bmp,1082,FALSE
1,1,1,67,61,1,1,mfaces\Slide17.bmp,1526,TRUE
1,1,1,68,63,9,9,mfaces\Slide18.bmp,1554,FALSE
1,1,1,69,59,-1,-1,mfaces\Slide19.bmp,2001,FALSE
1,1,1,70,68,9,9,mfaces\Slide20.bmp,1587,FALSE
1,1,1,26,71,57,SPACE,instructionfollowup\Slide4.bmp,2753,TRUE
1,1,1,135,96,28,ENTER,instructionfollowup\Slide8.bmp,11006,TRUE
1,1,1,119,99,1,1,Slide32.bmp,5686,TRUE
1,1,1,122,102,3,3,Slide32.bmp,2254,FALSE
1,1,1,125,105,4,4,Slide32.bmp,1468,FALSE
1,1,1,128,108,7,7,Slide32.bmp,253,FALSE
1,1,1,131,111,6,6,Slide32.bmp,1078,FALSE
1,1,1,134,114,6,6,Slide32.bmp,2003,FALSE
1,1,1,135,115,28,ENTER,instructionfollowup\Slide9.bmp,2013,TRUE
1,1,1,136,116,3,3,surveys\Slide2.bmp,8079,TRUE
1,1,1,137,117,2,2,surveys\Slide3.bmp,4991,FALSE
1,1,1,138,118,3,3,surveys\Slide4.bmp,6071,FALSE
1,1,1,139,119,1,1,surveys\Slide5.bmp,5102,TRUE
1,1,1,140,120,1,1,surveys\Slide6.bmp,2647,TRUE
1,1,1,141,121,1,1,surveys\Slide7.bmp,2383,TRUE
1,1,1,142,122,2,2,surveys\Slide8.bmp,2490,FALSE
1,1,1,143,123,3,3,surveys\Slide9.bmp,2547,FALSE
1,1,1,144,124,2,2,surveys\Slide10.bmp,4112,FALSE
1,1,1,145,125,2,2,surveys\Slide11.bmp,6088,TRUE
1,1,1,146,126,2,2,surveys\Slide12.bmp,12156,FALSE
1,1,1,147,127,3,3,surveys\Slide13.bmp,11029,FALSE
1,1,1,148,128,6,6,surveys\Slide14.bmp,8573,FALSE
1,1,1,149,129,2,2,surveys\Slide15.bmp,7854,FALSE
1,1,1,150,130,3,3,surveys\Slide16.bmp,8185,FALSE
1,1,1,151,131,6,6,surveys\Slide17.bmp,7895,FALSE
1,1,1,152,132,5,5,surveys\Slide18.bmp,7194,FALSE
1,1,1,153,133,6,6,surveys\Slide19.bmp,7943,FALSE
1,1,1,154,134,7,7,surveys\Slide20.bmp,13688,FALSE
1,1,1,155,135,5,5,surveys\Slide21.bmp,22992,FALSE
1,1,1,156,136,6,6,surveys\Slide22.bmp,8249,TRUE
1,1,1,157,137,1,1,surveys\Slide23.bmp,13760,TRUE
1,1,1,158,138,1,1,surveys\Slide24.bmp,4143,TRUE
1,1,1,159,139,1,1,surveys\Slide25.bmp,3672,TRUE
1,1,1,160,140,6,6,surveys\Slide26.bmp,5756,FALSE
1,1,1,161,141,5,5,surveys\Slide27.bmp,7486,FALSE
1,1,1,162,142,3,3,surveys\Slide28.bmp,8807,FALSE
1,1,1,163,143,4,4,surveys\Slide29.bmp,14508,FALSE
1,1,1,164,144,2,2,surveys\Slide30.bmp,6528,FALSE
1,1,1,165,145,1,1,surveys\Slide31.bmp,6945,TRUE
1,1,1,166,146,57,SPACE,surveys\Slide32.bmp,2440,TRUE
1,1,1,167,147,-1,19,What is your age (in years)?,3285,TRUE
1,1,1,168,148,1,1,surveys\Slide34.bmp,2860,TRUE
1,1,1,169,149,1,1,surveys\Slide35.bmp,2918,TRUE
1,1,1,170,150,2,2,surveys\Slide36.bmp,2812,FALSE
1,1,1,178,151,57,SPACE,Please see experimenter,2457197,TRUE
2,1,1,1,1,57,SPACE,Please wait for instructions,80339,TRUE
2,1,1,2,2,57,SPACE,instructionfollowup\Slide1.bmp,15625,TRUE
2,1,1,3,3,1,1,instructionfollowup\Slide2.bmp,956,TRUE
2,1,1,3,4,57,SPACE,instructionfollowup\Slide3.bmp,3389,TRUE
2,1,1,4,13,9,9,mfaces\Slide1.bmp,1022,FALSE
2,1,1,5,20,1,1,mfaces\Slide2.bmp,750,TRUE
2,1,1,6,10,1,1,mfaces\Slide3.bmp,1382,TRUE
2,1,1,7,9,1,1,mfaces\Slide4.bmp,948,TRUE
2,1,1,8,18,9,9,mfaces\Slide5.bmp,1027,FALSE
2,1,1,9,23,1,1,mfaces\Slide6.bmp,1125,TRUE
2,1,1,10,7,9,9,mfaces\Slide7.bmp,851,FALSE
2,1,1,11,24,1,1,mfaces\Slide8.bmp,1100,TRUE
2,1,1,12,5,9,9,mfaces\Slide9.bmp,1038,FALSE
2,1,1,13,6,1,1,mfaces\Slide10.bmp,1083,TRUE
2,1,1,14,17,1,1,mfaces\Slide11.bmp,1131,TRUE
2,1,1,15,19,9,9,mfaces\Slide12.bmp,1046,FALSE
2,1,1,16,15,1,1,mfaces\Slide13.bmp,1142,TRUE
2,1,1,17,16,1,1,mfaces\Slide14.bmp,1416,TRUE
2,1,1,18,14,1,1,mfaces\Slide15.bmp,1240,TRUE
2,1,1,19,11,9,9,mfaces\Slide16.bmp,848,FALSE
2,1,1,20,8,1,1,mfaces\Slide17.bmp,937,TRUE
2,1,1,21,22,9,9,mfaces\Slide18.bmp,1427,FALSE
2,1,1,22,12,1,1,mfaces\Slide19.bmp,1073,TRUE
2,1,1,23,21,9,9,mfaces\Slide20.bmp,1163,FALSE
2,1,1,26,25,57,SPACE,instructionfollowup\Slide4.bmp,3412,TRUE
2,1,1,2,50,57,SPACE,instructionfollowup\Slide5.bmp,5047,TRUE
2,1,1,51,68,9,9,mfaces\Slide1.bmp,1027,FALSE
2,1,1,52,64,1,1,mfaces\Slide2.bmp,844,TRUE
2,1,1,53,57,9,9,mfaces\Slide3.bmp,821,FALSE
2,1,1,54,52,1,1,mfaces\Slide4.bmp,749,TRUE
2,1,1,55,58,9,9,mfaces\Slide5.bmp,751,FALSE
2,1,1,56,70,1,1,mfaces\Slide6.bmp,1046,TRUE
2,1,1,57,54,9,9,mfaces\Slide7.bmp,715,FALSE
2,1,1,58,56,1,1,mfaces\Slide8.bmp,911,TRUE
2,1,1,59,69,9,9,mfaces\Slide9.bmp,926,FALSE
2,1,1,60,59,1,1,mfaces\Slide10.bmp,982,TRUE
2,1,1,61,61,1,1,mfaces\Slide11.bmp,1006,TRUE
2,1,1,62,53,9,9,mfaces\Slide12.bmp,804,FALSE
2,1,1,63,67,1,1,mfaces\Slide13.bmp,1764,TRUE
2,1,1,64,66,9,9,mfaces\Slide14.bmp,1324,FALSE
2,1,1,65,65,1,1,mfaces\Slide15.bmp,932,TRUE
2,1,1,66,63,9,9,mfaces\Slide16.bmp,771,FALSE
2,1,1,67,62,1,1,mfaces\Slide17.bmp,870,TRUE
2,1,1,68,51,9,9,mfaces\Slide18.bmp,1468,FALSE
2,1,1,69,55,1,1,mfaces\Slide19.bmp,849,TRUE
2,1,1,70,60,9,9,mfaces\Slide20.bmp,960,FALSE
2,1,1,26,71,57,SPACE,instructionfollowup\Slide4.bmp,2217,TRUE
2,1,1,135,96,57,SPACE,instructionfollowup\Slide8.bmp,23301,TRUE
2,1,1,119,99,1,1,Slide32.bmp,2114,TRUE
2,1,1,122,102,9,9,Slide32.bmp,428,FALSE
2,1,1,125,105,3,3,Slide32.bmp,562,FALSE
2,1,1,128,108,9,9,Slide32.bmp,234,FALSE
2,1,1,131,111,1,1,Slide32.bmp,264,TRUE
2,1,1,134,114,5,5,Slide32.bmp,291,FALSE
2,1,1,135,115,57,SPACE,instructionfollowup\Slide9.bmp,1816,TRUE
2,1,1,136,116,2,2,surveys\Slide2.bmp,11901,TRUE
2,1,1,137,117,1,1,surveys\Slide3.bmp,2724,TRUE
2,1,1,138,118,1,1,surveys\Slide4.bmp,1008,TRUE
2,1,1,139,119,1,1,surveys\Slide5.bmp,1101,TRUE
2,1,1,140,120,1,1,surveys\Slide6.bmp,1699,TRUE
2,1,1,141,121,1,1,surveys\Slide7.bmp,1306,TRUE
2,1,1,142,122,4,4,surveys\Slide8.bmp,1648,FALSE
2,1,1,143,123,2,2,surveys\Slide9.bmp,4861,FALSE
2,1,1,144,124,3,3,surveys\Slide10.bmp,3744,FALSE
2,1,1,145,125,57,SPACE,surveys\Slide11.bmp,3525,TRUE
2,1,1,146,126,2,2,surveys\Slide12.bmp,16023,FALSE
2,1,1,147,127,2,2,surveys\Slide13.bmp,7723,FALSE
2,1,1,148,128,3,3,surveys\Slide14.bmp,7877,FALSE
2,1,1,149,129,2,2,surveys\Slide15.bmp,12576,FALSE
2,1,1,150,130,5,5,surveys\Slide16.bmp,9729,FALSE
2,1,1,151,131,7,7,surveys\Slide17.bmp,8176,FALSE
2,1,1,152,132,3,3,surveys\Slide18.bmp,7654,FALSE
2,1,1,153,133,5,5,surveys\Slide19.bmp,9400,FALSE
