participant_id,trial_number,pre_post_prime,side_of_response,image,prime_condition,masc_side,chose_masc
11,2,0,0,Slide11.bmp,1,0,True
11,3,0,1,Slide9.bmp,1,1,True
11,4,0,0,Slide5.bmp,1,1,False
11,5,0,1,Slide1.bmp,1,1,True
11,6,0,1,Slide18.bmp,1,1,True
11,7,0,0,Slide14.bmp,1,1,False
11,8,0,0,Slide10.bmp,1,0,True
11,9,0,0,Slide16.bmp,1,1,False
11,10,0,0,Slide13.bmp,1,0,True
11,11,0,0,Slide12.bmp,1,1,False
11,12,0,1,Slide3.bmp,1,1,True
11,13,0,1,Slide8.bmp,1,0,False
11,14,0,0,Slide6.bmp,1,0,True
11,15,0,1,Slide7.bmp,1,1,True
11,16,0,1,Slide17.bmp,1,0,False
11,17,0,1,Slide15.bmp,1,0,False
11,18,0,1,Slide4.bmp,1,0,False
11,19,0,1,Slide19.bmp,1,0,False
11,20,0,0,Slide2.bmp,1,0,True
11,21,1,1,Slide20.bmp,1,1,True
11,22,1,0,Slide12.bmp,1,1,False
11,23,1,1,Slide10.bmp,1,0,False
11,24,1,0,Slide8.bmp,1,0,True
11,25,1,1,Slide5.bmp,1,1,True
11,26,1,0,Slide18.bmp,1,1,False
11,27,1,0,Slide11.bmp,1,0,True
11,28,1,1,Slide7.bmp,1,1,True
11,29,1,1,Slide6.bmp,1,0,False
11,30,1,1,Slide15.bmp,1,0,False
11,31,1,1,Slide14.bmp,1,1,True
11,32,1,0,Slide16.bmp,1,1,False
11,33,1,1,Slide17.bmp,1,0,False
11,34,1,0,Slide13.bmp,1,0,True
11,35,1,0,Slide3.bmp,1,1,False
11,36,1,0,Slide1.bmp,1,1,False
11,37,1,0,Slide2.bmp,1,0,True
11,38,1,0,Slide4.bmp,1,0,True
11,39,1,1,Slide19.bmp,1,0,False
11,40,1,1,Slide9.bmp,1,1,True
12,2,0,0,Slide3.bmp,2,1,False
12,3,0,0,Slide6.bmp,2,0,True
12,4,0,0,Slide11.bmp,2,0,True
12,5,0,1,Slide4.bmp,2,0,False
12,6,0,1,Slide19.bmp,2,0,False
12,7,0,1,Slide2.bmp,2,0,False
12,8,0,0,Slide18.bmp,2,1,False
12,9,0,0,Slide8.bmp,2,0,True
12,10,0,1,Slide17.bmp,2,0,False
12,11,0,0,Slide16.bmp,2,1,False
12,12,0,0,Slide7.bmp,2,1,False
12,13,0,0,Slide1.bmp,2,1,False
12,14,0,0,Slide12.bmp,2,1,False
12,15,0,1,Slide10.bmp,2,0,False
12,16,0,0,Slide9.bmp,2,1,False
12,17,0,0,Slide14.bmp,2,1,False
12,18,0,1,Slide15.bmp,2,0,False
12,19,0,1,Slide5.bmp,2,1,True
12,20,0,0,Slide13.bmp,2,0,True
12,21,1,0,Slide15.bmp,2,0,True
12,22,1,0,Slide3.bmp,2,1,False
12,23,1,0,Slide20.bmp,2,1,False
12,24,1,0,Slide2.bmp,2,0,True
12,25,1,0,Slide12.bmp,2,1,False
12,26,1,1,Slide10.bmp,2,0,False
12,27,1,0,Slide9.bmp,2,1,False
12,28,1,1,Slide8.bmp,2,0,False
12,29,1,0,Slide13.bmp,2,0,True
12,30,1,0,Slide16.bmp,2,1,False
12,31,1,0,Slide17.bmp,2,0,True
12,32,1,1,Slide7.bmp,2,1,True
12,33,1,1,Slide14.bmp,2,1,True
12,34,1,0,Slide6.bmp,2,0,True
12,35,1,1,Slide1.bmp,2,1,True
12,36,1,0,Slide18.bmp,2,1,False
12,37,1,0,Slide11.bmp,2,0,True
12,38,1,0,Slide5.bmp,2,1,False
12,39,1,0,Slide19.bmp,2,0,True
12,40,1,1,Slide4.bmp,2,0,False
13,2,0,1,Slide14.bmp,3,1,True
13,3,0,1,Slide12.bmp,3,1,True
13,4,0,1,Slide3.bmp,3,1,True
13,5,0,0,Slide5.bmp,3,1,False
13,6,0,0,Slide17.bmp,3,0,True
13,7,0,1,Slide9.bmp,3,1,True
13,8,0,1,Slide18.bmp,3,1,True
13,9,0,0,Slide1.bmp,3,1,False
13,10,0,0,Slide6.bmp,3,0,True
13,11,0,0,Slide13.bmp,3,0,True
13,12,0,0,Slide4.bmp,3,0,True
13,13,0,1,Slide7.bmp,3,1,True
13,14,0,0,Slide10.bmp,3,0,True
13,15,0,1,Slide20.bmp,3,1,True
13,16,0,1,Slide16.bmp,3,1,True
13,17,0,1,Slide15.bmp,3,0,False
13,18,0,0,Slide2.bmp,3,0,True
13,19,0,0,Slide8.bmp,3,0,True
13,20,0,1,Slide19.bmp,3,0,False
13,21,1,0,Slide10.bmp,3,0,True
13,22,1,0,Slide1.bmp,3,1,False
13,23,1,1,Slide9.bmp,3,1,True
13,24,1,1,Slide13.bmp,3,0,False
13,25,1,1,Slide16.bmp,3,1,True
13,26,1,1,Slide7.bmp,3,1,True
13,27,1,1,Slide11.bmp,3,0,False
13,28,1,0,Slide8.bmp,3,0,True
13,29,1,1,Slide15.bmp,3,0,False
13,30,1,1,Slide3.bmp,3,1,True
13,31,1,1,Slide18.bmp,3,1,True
13,32,1,1,Slide12.bmp,3,1,True
13,33,1,1,Slide4.bmp,3,0,False
13,34,1,1,Slide5.bmp,3,1,True
13,35,1,1,Slide17.bmp,3,0,False
13,36,1,1,Slide14.bmp,3,1,True
13,37,1,1,Slide19.bmp,3,0,False
13,38,1,1,Slide6.bmp,3,0,False
13,39,1,0,Slide20.bmp,3,1,False
13,40,1,1,Slide2.bmp,3,0,False
14,1,0,0,Slide7.bmp,4,1,False
14,2,0,1,Slide3.bmp,4,1,True
14,3,0,0,Slide8.bmp,4,0,True
14,4,0,1,Slide16.bmp,4,1,True
14,5,0,1,Slide9.bmp,4,1,True
14,6,0,0,Slide13.bmp,4,0,True
14,8,0,1,Slide14.bmp,4,1,True
14,10,0,0,Slide1.bmp,4,1,False
14,11,0,0,Slide6.bmp,4,0,True
14,12,0,1,Slide5.bmp,4,1,True
14,14,0,1,Slide15.bmp,4,0,False
14,15,0,0,Slide4.bmp,4,0,True
14,16,0,1,Slide10.bmp,4,0,False
14,17,0,1,Slide20.bmp,4,1,True
14,18,0,0,Slide18.bmp,4,1,False
14,19,0,0,Slide2.bmp,4,0,True
14,20,0,0,Slide19.bmp,4,0,True
14,21,1,0,Slide18.bmp,4,1,False
14,22,1,0,Slide19.bmp,4,0,True
14,23,1,1,Slide9.bmp,4,1,True
14,24,1,0,Slide6.bmp,4,0,True
14,26,1,1,Slide13.bmp,4,0,False
14,27,1,1,Slide16.bmp,4,1,True
14,28,1,0,Slide20.bmp,4,1,False
14,29,1,1,Slide10.bmp,4,0,False
14,30,1,0,Slide15.bmp,4,0,True
14,31,1,0,Slide11.bmp,4,0,True
14,32,1,0,Slide4.bmp,4,0,True
14,33,1,0,Slide1.bmp,4,1,False
14,34,1,0,Slide3.bmp,4,1,False
14,35,1,1,Slide7.bmp,4,1,True
14,36,1,1,Slide5.bmp,4,1,True
14,37,1,1,Slide8.bmp,4,0,False
14,38,1,1,Slide12.bmp,4,1,True
14,39,1,0,Slide2.bmp,4,0,True
14,40,1,0,Slide14.bmp,4,1,False
15,2,0,1,Slide15.bmp,5,0,False
15,3,0,0,Slide19.bmp,5,0,True
15,4,0,1,Slide3.bmp,5,1,True
15,5,0,0,Slide13.bmp,5,0,True
15,6,0,0,Slide2.bmp,5,0,True
15,7,0,0,Slide12.bmp,5,1,False
15,8,0,0,Slide6.bmp,5,0,True
15,9,0,1,Slide5.bmp,5,1,True
15,10,0,0,Slide8.bmp,5,0,True
