Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,load,maspref,vmaspref,nfcp,nfcn,fii,icp,icn,nfc,ic
,,,,,,,,,,,,,,,,,,
1,1,1,66,41,4,4,Slide32.bmp,1764,6,0,6,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,23,38,5,5,Slide22.bmp,3683,6,5,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,24,37,3,3,Slide23.bmp,3796,6,7,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,40,25,3,3,Slide32.bmp,1678,4,0,7,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,63,22,3,3,Slide29.bmp,8981,4,7,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,36,21,6,6,Slide24.bmp,7449,4,6,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,27,17,3,3,Slide32.bmp,3280,1,0,3,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,49,14,6,6,Slide26.bmp,3992,1,6,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,10,13,3,3,Slide20.bmp,6336,1,3,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,14,9,5,5,Slide32.bmp,2554,7,0,5,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,62,6,7,7,Slide28.bmp,5494,7,7,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
1,1,1,11,5,8,8,Slide21.bmp,8713,7,2,0,5,7,17,19,9,-2,10
,,,,,,,,,,,,,,,,,,
2,1,1,66,41,4,4,Slide32.bmp,1689,2,0,6,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,50,38,6,6,Slide27.bmp,10428,2,4,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,23,37,6,6,Slide22.bmp,5157,2,6,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,53,33,6,6,Slide32.bmp,635,6,0,6,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,62,30,8,8,Slide28.bmp,4366,6,8,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,49,29,7,7,Slide26.bmp,5743,6,7,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,40,25,2,2,Slide32.bmp,860,1,0,8,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,24,22,3,3,Slide23.bmp,2132,1,7,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,63,21,2,2,Slide29.bmp,4414,1,8,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,27,17,7,7,Slide32.bmp,1886,4,0,7,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,10,14,7,7,Slide20.bmp,7425,4,7,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
2,1,1,11,13,3,3,Slide21.bmp,5220,4,7,0,8,5,20,17,13,3,4
,,,,,,,,,,,,,,,,,,
3,1,1,66,41,5,5,Slide32.bmp,2347,6,0,5,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,11,38,7,7,Slide21.bmp,2334,6,3,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,37,37,3,3,Slide25.bmp,3544,6,7,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,53,33,8,8,Slide32.bmp,1508,2,0,8,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,50,30,6,6,Slide27.bmp,5275,2,4,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,63,29,9,9,Slide29.bmp,2121,2,1,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,27,17,4,4,Slide32.bmp,5041,1,0,4,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,36,14,8,8,Slide24.bmp,5517,1,8,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,62,13,9,9,Slide28.bmp,6496,1,9,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,14,9,7,7,Slide32.bmp,3142,7,0,3,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,10,6,4,4,Slide20.bmp,6450,7,4,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
3,1,1,49,5,6,6,Slide26.bmp,14634,7,6,0,7,7,25,13,15,0,-2
,,,,,,,,,,,,,,,,,,
4,1,1,53,33,8,8,Slide32.bmp,347,4,0,8,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,11,30,3,3,Slide21.bmp,5667,4,7,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
4,1,1,63,29,8,8,Slide29.bmp,6356,4,2,0,7,6,19,15,15,1,0
,,,,,,,,,,,,,,,,,,
